Country Name,Country Code,Year,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population)_scaled,Population growth (annual %)_scaled,People using safely managed sanitation services (% of population)_scaled,Access to electricity (% of population)_scaled,People using at least basic drinking water services (% of population)_scaled,Population living in slums (% of urban population)_scaled,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)_scaled",GDP growth (annual %)_scaled,Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita)_scaled,"Population, total_scaled","Life expectancy at birth, total (years)_scaled",GDP per capita (current US$)_scaled
Romania,ROU,2008,0.06322444678609063,0.2931380969475974,0.551794021412967,0.9647177419354839,0.9999999888055819,0.03256322475718856,0.42771767446136866,0.4374936238608267,0.5803329656006939,-0.09498597731750394,0.19010862733938488,0.3948272231569182
Germany,DEU,2023,,0.3472972896283661,,1.0,,,0.5827025039075667,0.37168143864826325,0.8579278443823202,0.3902548387173959,1.0975354760234715,1.4329601659459668
Mauritania,MRT,2001,,0.4182253651645849,,0.2157258064516129,0.2927732784012254,,0.3479113671886971,0.3680171511379304,-0.9721934859658392,-0.23175078022689383,-1.050479850088777,-1.3569012244912606
Malaysia,MYS,2022,,0.3797810369336639,0.859685995536329,1.0,0.9650317101561665,,0.6525483465628734,0.4344302041860913,0.9797092045644021,0.013432823694552396,0.5175703944712385,0.46971868410439654
Lithuania,LTU,2011,0.009483667017913594,0.2752271713587374,0.855169254322896,0.996975806451613,0.9349416402566504,,0.5258052652548346,0.4169824118462743,0.5078783909579446,-0.22907542550072682,0.303606358566237,0.5922515068817
Greece,GRC,2010,0.011591148577449948,0.3474462228153376,0.841250733887468,1.0,0.9989986367136319,0.0010019453771442633,0.45669496460204106,0.3343735024715379,0.9920871905356904,-0.16709763663542473,1.0800529404066186,0.9874289322280239
Mexico,MEX,2006,0.09483667017913593,0.38449947058998163,0.25715678025285604,0.9909274193548386,0.9256410913229527,0.27070399888423363,0.5789941463115632,0.4065432127073824,0.4299079067861962,0.5690820946584504,0.3243800508880926,0.33633572445826515
Benin,BEN,2019,,0.4262951481991505,0.0259124573983215,0.3951612903225806,0.5901540014536426,,0.7968984645560695,0.4207085289912485,-0.8350228290124464,-0.15480340316988203,-1.252317111288129,-1.009122326540485
Antigua and Barbuda,ATG,2016,,0.36243553140510765,,1.0,0.9798969024839868,0.02651448051536864,,0.4018368734573099,0.24939784118216116,-0.2515756982527088,0.690963847722542,0.6865473140349234
Cabo Verde,CPV,2011,,0.3533997364227378,,0.8215725806451613,0.7966956695724914,,0.5522388059701491,0.4004919562891011,-0.28805654585920165,-0.24834802680310764,0.22960528280519532,-0.2107709100851525
